nohup: ignoring input
Query 1: s=1084755, t=4912229... Graph (reordered by Region): n=6789958, m=20190920, Regions=128, Queries=100
[Init] kernel_1(init residual/excess)=4.337 ms, kernel_7(preflow)=0.024 ms
Iteration 56: init_hl=0.035 ms, bfs=0.008 ms, push_relabel=0.071 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 57: init_hl=0.033 ms, bfs=0.007 ms, push_relabel=0.071 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 58: init_hl=0.033 ms, bfs=0.008 ms, push_relabel=0.070 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 59: init_hl=0.033 ms, bfs=0.008 ms, push_relabel=0.071 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 60: init_hl=0.033 ms, bfs=0.008 ms, push_relabel=0.069 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 61: init_hl=0.033 ms, bfs=0.007 ms, push_relabel=0.070 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 62: init_hl=0.033 ms, bfs=0.008 ms, push_relabel=0.070 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 63: init_hl=0.033 ms, bfs=0.007 ms, push_relabel=0.754 ms (K=4, mode=path-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 64: init_hl=0.067 ms, bfs=52.816 ms, push_relabel=0.223 ms (K=4, mode=region-aware, deeppath=256), remove_invalid=0.000 ms, active=0, active_high=0, fixed_edges=0, GR_FREQ0=64

[Init] kernel_1(init residual/excess)=1.893 ms, kernel_7(preflow)=0.008 ms
Iteration 0: init_hl=0.094 ms, bfs=16.216 ms, push_relabel=0.115 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.272 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 1: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.062 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 2: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.063 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 3: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.063 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 4: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.062 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 5: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.062 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 6: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.066 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 7: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.987 ms (K=4, mode=path-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 8: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.063 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

